Date,OrderID,CustomerID,CustomerSegment,Product,Category,Region,Store,Units,Sales,Cost
2023-01-01,ORD1021,CUST2021,Consumer,Webcam HD,Accessories,West,Seattle,4,298.87,149.45
2023-01-02,ORD1062,CUST2062,Consumer,"Monitor 27""",Displays,Midwest,Detroit,4,1333.83,833.66
2023-01-08,ORD1194,CUST2194,Consumer,"Monitor 27""",Displays,Midwest,Chicago,2,626.51,391.58
2023-01-15,ORD1106,CUST2106,Consumer,Wireless Mouse,Accessories,Midwest,Chicago,2,81.56,32.63
2023-01-15,ORD1306,CUST2306,Small Business,Webcam HD,Accessories,Midwest,Minneapolis,2,139.31,69.66
2023-01-16,ORD1338,CUST2338,Consumer,"Monitor 27""",Displays,Southeast,Charlotte,2,656.26,410.17
2023-01-17,ORD1326,CUST2326,Consumer,"Monitor 32""",Displays,Southeast,Atlanta,2,875.27,557.0
2023-01-20,ORD1197,CUST2197,Small Business,Router Mesh,Networking,Northeast,New York,1,158.46,95.08
2023-01-24,ORD1274,CUST2274,Corporate,Tablet X,Mobile Devices,West,Los Angeles,4,1865.28,1305.72
2023-01-27,ORD1171,CUST2171,Consumer,Wireless Mouse,Accessories,Northeast,New York,2,76.11,30.45
2023-01-27,ORD1252,CUST2252,Corporate,Mechanical Keyboard,Accessories,West,Los Angeles,3,300.05,150.04
2023-02-03,ORD1250,CUST2250,Corporate,Wireless Mouse,Accessories,West,San Francisco,1,38.3,15.32
2023-02-07,ORD1302,CUST2302,Small Business,External Drive 1TB,Storage,West,Seattle,4,266.87,150.13
2023-02-08,ORD1303,CUST2303,Small Business,Laptop Pro,Computers,Midwest,Minneapolis,1,1090.22,796.71
2023-02-10,ORD1210,CUST2210,Small Business,"Monitor 32""",Displays,West,San Francisco,2,849.95,540.89
2023-02-12,ORD1208,CUST2208,Small Business,Router Mesh,Networking,Southeast,Miami,1,154.41,92.65
2023-02-12,ORD1240,CUST2240,Corporate,Webcam HD,Accessories,Midwest,Minneapolis,5,361.51,180.77
2023-02-16,ORD1266,CUST2266,Corporate,Printer Pro,Peripherals,Southeast,Charlotte,2,457.44,274.47
